
Interfaz: 192.168.2.193 --- 0x5
  Direcci¢n de Internet          Direcci¢n f¡sica      Tipo
  192.168.2.103         b0-60-88-16-8c-26     din mico  
  192.168.2.151         10-63-c8-42-68-e9     din mico  
  192.168.2.162         c0-e5-da-8a-ad-fe     din mico  
  192.168.2.171         50-5a-65-8f-61-39     din mico  
  192.168.2.174         c0-35-32-95-68-a5     din mico  
  192.168.2.176         f8-54-f6-83-0f-92     din mico  
  192.168.2.177         bc-38-98-9e-6d-94     din mico  
  192.168.2.184         3c-6a-a7-43-c2-31     din mico  
  192.168.2.186         c0-35-32-9d-4d-1f     din mico  
  192.168.2.188         c0-35-32-a1-bb-4b     din mico  
  192.168.2.189         a0-d3-65-c6-92-a1     din mico  
  192.168.2.190         14-13-33-52-84-2b     din mico  
  192.168.2.191         c0-35-32-ac-8c-45     din mico  
  192.168.2.192         10-68-38-2a-3c-6c     din mico  
  192.168.2.194         4c-44-5b-15-a2-5c     din mico  
  192.168.2.195         ac-67-5d-ca-91-f8     din mico  
  192.168.2.197         e8-65-38-95-cc-db     din mico  
  192.168.2.198         74-4c-a1-d5-46-41     din mico  
  192.168.2.201         28-d0-43-1a-46-9b     din mico  
  192.168.2.202         00-f4-8d-e4-0d-ab     din mico  
  192.168.2.203         f8-5e-a0-4f-47-6e     din mico  
  192.168.2.208         a8-3b-76-7b-be-53     din mico  
  192.168.2.209         1c-ce-51-64-26-a7     din mico  
  192.168.2.210         60-e9-aa-3c-6e-17     din mico  
  192.168.2.222         4c-23-38-3b-d2-8b     din mico  
  192.168.2.225         5c-c5-63-bf-8e-51     din mico  
  192.168.2.226         8c-1d-96-cf-2e-20     din mico  
  192.168.2.229         10-6f-d9-88-d8-a3     din mico  
  192.168.2.230         94-bb-43-cf-e4-c8     din mico  
  192.168.2.254         cc-2d-e0-13-c0-40     din mico  
  192.168.2.255         ff-ff-ff-ff-ff-ff     est tico  
  224.0.0.22            01-00-5e-00-00-16     est tico  
  224.0.0.251           01-00-5e-00-00-fb     est tico  
  224.0.0.252           01-00-5e-00-00-fc     est tico  
  239.255.255.250       01-00-5e-7f-ff-fa     est tico  
  255.255.255.255       ff-ff-ff-ff-ff-ff     est tico  
